Computer_Idn,SystemPerformance_Idn,MemScore,CPUScore,GraphicsScore,GamingScore,DiskScore
5255,4886,8.7,8.7,6.2,9.9,8.15
5258,4472,8.7,8.7,5,9.9,8.15
5269,4490,9.1,9.1,6.8,9.9,8.15
5272,5102,7.6,7.5,6.7,9.9,8.2
5276,4493,8.7,8.7,5.7,9.9,8.8
5281,4506,7.7,6.3,7.4,7.4,8.05
5285,4541,8.8,8.8,6.8,9.9,9.05
5291,4523,8.2,8.2,6.2,9.9,8.95
5292,4489,8.3,8.3,8,9.9,8.1
5297,4524,9,9,8.2,9.9,8.15
5300,4976,8.8,8.8,7.2,9.9,8.55
5301,4480,8.4,8.4,5.9,9.9,9.1
5306,4515,8.8,8.8,5.6,9.9,7.7
5315,4773,8.8,8.8,7.4,9.9,5.9
5318,4562,8.5,8.5,6.7,9.9,8.15
5328,4624,8.8,8.8,5.4,9.9,8.15
5329,4508,9.2,9.2,5.3,9.9,8.2
5338,5172,9,9,8.1,9.9,8.15
5345,4522,8.3,8.3,7.2,9.9,8.15
5352,4563,8.8,8.8,6.3,9.9,8.65
5357,4529,7.8,7.6,6.6,9.9,7.85
5358,4530,7.5,7.4,5.9,9.9,8.2
5365,4540,8.8,8.8,6,9.9,8.1
5377,4902,8.6,8.6,8.1,9.9,8.15
5381,4999,8.9,8.9,6.8,9.9,9.2
5383,4550,7.5,7.3,4.8,9.9,8.15
5393,4560,8.4,8.4,8.2,9.9,8.9
5397,4629,8.8,8.8,7.1,9.9,9.1
5403,4643,9.1,9.1,8,9.9,8.15
5408,4673,8.9,8.9,7.4,9.9,9
5427,4571,9.1,9.1,8.1,9.9,7.6
5435,4576,8.9,8.9,5.1,9.9,5.9
5437,4578,7.5,7.4,6.3,9.9,8.1
5442,4583,9.1,9.1,8.3,9.9,8.7
5449,4585,8.2,8.2,8.1,9.9,7.8
5454,4641,7.5,7.4,5.2,9.9,8.1
5456,4590,7.7,7.7,6.7,6.7,7.9
5458,4592,8.3,8.3,7.1,9.9,8.85
5461,4879,7.5,7.5,5.3,9.9,8.15
5462,4708,8.8,8.8,6.9,9.9,8.15
5464,4918,8.7,8.7,6.7,9.9,8.15
5470,4602,9.1,9.1,6.3,9.9,8.15
5471,4649,8.5,8.5,5.7,9.9,9
5473,4601,8.8,8.8,6.6,9.9,8.15
5481,4848,9.1,9.1,8,9.9,8.15
5482,4935,9.1,9.1,8,9.9,8.15
5493,4611,8.3,8.3,6.5,9.9,9.2
5495,4725,8.7,8.7,6.2,9.9,9.1
5498,4615,8.7,8.7,5.8,9.9,8.15
5499,4619,8.4,7.6,6.9,9.9,8.15
5502,4808,8.8,8.8,6.1,9.9,8.75
5504,4674,8.8,8.8,5.5,9.9,9
5513,4691,7.9,7.6,6.8,9.9,8.2
5515,4955,8.8,8.8,6.7,9.9,8.05
5519,4625,9.1,9.1,6.9,9.9,8.1
5521,4626,8.7,8.7,5.4,9.9,8.15
5522,5180,8.2,8.2,6.4,9.9,8.15
5525,4672,8.8,8.8,6.9,9.9,8.1
5526,4628,8.7,8.7,8.1,9.9,7.2
5527,4642,7.8,7.7,6.7,6.7,7.9
5533,4633,9.1,9.1,6.1,9.9,8.2
5535,4634,5.5,6.1,2,9.9,6.75
5537,4638,8.3,8.3,6.7,9.9,8.15
5544,4646,7.6,7.2,6.7,6.7,7.7
5546,4899,5.9,8.7,4.1,9.9,8.05
5548,4717,8.8,8.8,5.8,9.9,8.2
5550,4895,8.8,8.8,5.6,9.9,8.1
5551,4710,8.8,8.8,6.7,9.9,8.15
5555,4728,7.9,7.6,6.3,9.9,8.2
5556,4651,9.1,9.1,6.8,9.9,8.1
5560,4653,7.7,7.5,8.1,9.9,8.15
5561,4657,8.7,8.7,5.9,9.9,7.5
5562,4656,7.7,7.7,5.5,6.9,7.9
5564,4658,8.8,8.8,6.3,9.9,8.85
5568,4661,9.1,9.1,5.9,9.9,8.15
5569,4660,8.6,8.6,4.2,9.9,5.9
5573,4767,8.7,8.7,8.1,9.9,5.9
5574,4813,8.7,8.7,8.1,9.9,5.9
5576,4824,8.8,8.8,8.1,9.9,5.9
5588,4850,8.8,8.8,8.1,9.9,8.2
5591,4777,8.8,8.8,8.1,9.9,8.2
5593,4665,8.8,8.8,6.5,9.9,8.1
5594,5137,8.7,8.7,6.2,9.9,8.15
5595,5143,8.8,8.8,6.9,9.9,9.05
5597,4667,8.6,8.6,6.4,9.9,8.15
5603,4669,7.5,7.3,8.1,9.9,8.05
5611,4979,8.2,8.2,2,9.9,6.2
5613,4956,8.7,8.7,6.5,9.9,9.15
5622,4684,9.1,9.1,7.6,9.9,7.55
5635,4733,9.1,9.1,7.6,9.9,8.85
5637,4692,7.4,7,5.8,6.6,7.9
5638,4695,9,9,8,9.9,9.2
5644,4703,7.7,7.7,7.1,7.1,7.9
5647,4809,9.2,9.2,5.4,9.9,8.2
5651,4827,8.7,8.7,5.2,9.9,8.1
5655,4775,8.7,8.7,6.1,9.9,8.2
5662,4714,7.7,7.1,6.3,6.3,7.9
5665,4917,8.5,8.5,6.4,9.9,8.2
5668,4937,7.9,7.7,6.8,9.9,8.2
5670,4786,8.6,8.6,8.1,9.9,8.1
5674,4722,7.2,7.1,5.3,6.6,7.9
5679,4729,8.4,8.4,5.9,9.9,7.2
5686,4811,8.7,8.7,6.8,9.9,7.75
5689,4761,9.1,9.1,8.4,9.9,5.9
5692,4727,7.4,6.9,6.5,6.5,7.9
5694,4947,8.8,8.8,6.1,9.9,8.05
5697,4798,8.9,8.9,6.6,9.9,8.2
5710,4839,9.1,9.1,8,9.9,9.05
5713,4768,9,9,8.1,9.9,8.15
5717,4739,9.1,9.1,8.4,9.9,8.15
