Computer_Idn,BytesTotal,BytesAvail,SysHeapSize,PageTotal,PageAvail,PageMaxSize,PageAvail2,VirtTotal,VirtAvail,VirtStatus,VirtVol,ConvTotal,ConvAvail,ExtTotal,ExtAvail,XMSTotal,XMSAvail,EMSTotal,EMSAvail,NumSlots,L2Total,StorageTotal,StorageAvail,RAMTotal,RAMAvail,MemDynamic,NumCards,MaxMem
2897,4095,2492,NULL,NULL,NULL,8189,6765,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048576
2898,3959,582,NULL,NULL,NULL,9335,3539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
2903,4095,3239,NULL,NULL,NULL,8189,7552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048576
2910,32392,28095,NULL,NULL,NULL,37257,32911,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32768
2918,16310,11940,NULL,NULL,NULL,18742,13963,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
2922,32663,20970,NULL,NULL,NULL,37528,24786,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32768
2928,32673,23920,NULL,NULL,NULL,65344,56476,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32768
2930,8097,3619,NULL,NULL,NULL,16193,11303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
2933,16289,9746,NULL,NULL,NULL,32577,24761,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
2945,32653,15661,NULL,NULL,NULL,43918,13032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65536
2951,8072,4187,NULL,NULL,NULL,16144,12171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
2952,8097,3867,NULL,NULL,NULL,9377,4895,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
2953,32673,26352,NULL,NULL,NULL,65344,58497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32768
2954,32712,15916,NULL,NULL,NULL,37576,20644,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131072
2956,8072,4550,NULL,NULL,NULL,16144,12588,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
2958,8097,5456,NULL,NULL,NULL,16193,13437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
2959,32673,26618,NULL,NULL,NULL,65344,58529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32768
