Computer_Idn,Type,MhzSpeed,ProcCount,Stepping,ID,Vendor,SLSignature,Model,ProcIndex,ProcType,ProcFamily,ProcVersion,MaxSpeed,CurrSpeed,ProcUpgrade,FRUGrpIndex,OPGrpIndex,ProcSerialNum,OverdriveUpgrade,VirtModeExt,PageSizeExt,TimeStampCnt,ModelRegisters,PhysAddrExt,MachChkExcept,CMPXCHG8BInstSppt,APIC,MemoryTypeRangeReg,PageGlobalEnable,MachineCheckArch,CondMoveInstr,MMX,HyperThreading,GlobalPageEnable,LeaseExp,ProcCnt,Speed,FeatureID,FeatureStepping,DHCPServ,Architecture,ProcLevel,Revision,AllocGran,ProcessorPhysicalCount,ExternalClockSpeed,CoresPerPkg,EM64T,ExecDisable,CacheSize,TotalCores
5930,Intel Core i7,3100,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
5932,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,2800,1,9H,06E9H,GenuineIntel,591593,E,NULL,NULL,NULL,NULL,2833,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,4,Yes,Yes,NULL,NULL
5938,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,2000,1,AH,06EAH,GenuineIntel,526058,E,NULL,NULL,NULL,NULL,2000,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,4,Yes,Yes,NULL,NULL
5942,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2904,1,9H,06E9H,GenuineIntel,526057,E,NULL,NULL,NULL,NULL,2933,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5943,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2904,1,9H,06E9H,GenuineIntel,526057,E,NULL,NULL,NULL,NULL,2933,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5945,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2904,1,9H,06E9H,GenuineIntel,526057,E,NULL,NULL,NULL,NULL,2933,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5946,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2903,1,9H,06E9H,GenuineIntel,526057,E,NULL,NULL,NULL,NULL,2933,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5947,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2903,1,9H,06E9H,GenuineIntel,526057,E,NULL,NULL,NULL,NULL,2933,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5949,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5955,Intel(R) Core(TM) i7-4610M CPU @ 3.00GHz,3000,1,3H,06C3H,GenuineIntel,198339,C,NULL,NULL,NULL,NULL,3000,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
