Computer_Idn,Manufacturer,Chipset,NumSlots,FRUGrpIndex,OPGrpIndex,MaxCPU,ProductName,MBVersion,SerialNum,BusSpeed,PCISlots,PCISlotsAvail
2085,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS6AJ1168,1867,0,0
2091,LENOVO,NULL,NULL,NULL,NULL,2501,2306CTO,Not Defined,1ZM4U26N4EB,1600,0,0
2093,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.14,PENEU00WB8E28X,1600,1,1
2103,LENOVO,NULL,NULL,NULL,NULL,2592,20EN0013US,0B98417 PRO,L1HF7380052,2133,0,0
2109,Hewlett-Packard,NULL,NULL,NULL,NULL,3101,3398,NULL,CZC3374X9W,1600,0,0
2110,Hewlett-Packard,NULL,NULL,NULL,NULL,3601,1998,NULL,CZC513056S,1600,0,0
2112,Hewlett-Packard,NULL,NULL,NULL,NULL,3101,3398,NULL,CZC321294C,1600,0,0
2118,HP,NULL,NULL,NULL,NULL,2808,8079,KBC Version 85.77,PFLAA00WB5537H,2133,1,1
2123,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB9H0OX,1600,1,1
2127,HP,NULL,NULL,NULL,NULL,2592,8079,KBC Version 85.5A,PFKZV00WB170HJ,2133,1,1
2130,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS6AJ1151,1867,0,0
2132,Intel Corporation,NULL,NULL,NULL,NULL,2200,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
2146,HP,NULL,NULL,NULL,NULL,2400,8079,KBC Version 85.6F,PFKZT00WB452OH,2133,1,1
2149,Hewlett-Packard,NULL,NULL,NULL,NULL,2701,198F,KBC Version 15.55,PDXVU00WD7G1CO,1600,1,1
2166,Intel Corporation,NULL,NULL,NULL,NULL,2095,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
2169,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVDQ00WB8Z0CC,1600,1,1
2203,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS6AJ1166,1867,0,0
